ids,spends
810e3277-619e-3154-7ba0-ebddfc5f7ea9,2848.311917914027
285ce334-3602-42b3-51cb-eebfcba48a09,2830.0943810934386
08efdf0f-f8f1-b968-3452-6b634eabf43f,2763.2041393224995
c81955ef-e3fe-e40e-b8b9-916dfea3b80d,2879.655326327
7f93590f-4a91-aec4-5062-cb1ba2c16a84,2875.742297674087
ac81ce99-9365-b28e-31de-996d7aaadc95,2844.3978897734746
26a68732-a660-8cf9-340d-34c88ecdcbf0,2833.8555282637153
fd228aa8-5a67-6561-4382-21c35360c01d,2854.101116574062
083ca221-7f4e-21c7-204d-2962c3ca9c14,2786.5219236059856
d040b1f4-9224-abf5-f489-b7c2055a8177,2762.4065000625246
48f48dfe-237b-4a81-0a00-0bf2bf560f7e,2822.471678323205
dda9894f-4d2f-75ab-b19c-fcf63a208a62,2847.56084774855
cf611420-a427-f3b8-c850-eb20c6f47e75,2805.9340973673507
70918039-093b-c3c2-78e5-f965d60cb72f,2835.1233284778064
94806328-c58a-637b-b3f4-3f0312c5257d,2855.087329606183
3ec4c7ed-3826-b1d7-f83a-9876a8a05cff,2831.8453690569854
4b2be04c-8550-8e1b-54d3-af788b760579,2854.622251540017
e7cfc15f-374c-c145-c6a3-e38ca1c54f82,2889.462147853686
531473be-0239-9ecb-3582-0e1b50612030,2822.5627671496463
2987bcec-116f-d38e-5099-42c20f1bed7a,2753.0509549904623
cbac3854-8f56-9c15-5422-9bcad1366041,2892.069465646241
1addd039-72c1-2d05-de4f-8b8fc4002152,2885.4942073088705
f0aad0b0-8e00-b27b-9ce7-b052b3f41f9a,2847.8335157029383
3506412a-4214-344d-5b2a-5937d869b216,2829.126743545101
7636fbf5-6dd4-f3f6-5b81-18df0ec0d3c7,2798.8540410358805
9eed0323-17b3-7b23-b73f-fcca0e1ff495,2867.4407590041815
1ee49ae0-fdce-50e6-a74c-4323c84ac1fb,2886.389252823146
f116d5e1-f864-e8d0-a202-e0af8af0dcd2,2804.6627082700875
4a99f007-85ef-4fa3-804a-f55b8e21a0da,2850.879328365373
27c3958f-9917-2658-eb6c-f4cfe8c83256,2817.76857395849
16bf0b17-b329-fdc4-0bff-bf4698f289a4,2858.079973645986
49ac824b-0a54-ef66-a495-db1127896359,2815.990630948403
6e0acef9-e4b7-40d3-ef33-d393e9078404,2865.3044605192176
85c267f7-7aca-4cb6-8ecd-6af8200c750f,2769.11709995166
1722b603-dde1-adb5-4690-9c2bcbf454f5,2811.7179090468544
d931700b-d0ed-2524-693a-2ea1a5b0fe1a,2904.129243906111
e34af295-f1f9-7e88-d05b-378f49c2190a,2768.2960250688684
978ffa45-d6e1-c802-fc4e-b1006c0f443a,2899.005978666408
1718aeb0-3138-edd8-d7c1-029546e2218b,2797.519326011822
eeff907c-8075-0040-6a03-a882a70da141,2861.2578942436785
d0eb71da-875a-3d05-3a04-c1029cd2211e,2838.7059858824496
ca9faf5d-b22d-b74c-e564-db4dffb1e7ff,2846.3664023346196
9b845b68-3a52-49eb-2ef8-df6049e3b66e,2833.3325164757453
c01a1022-93b0-b542-648d-95ab6ad26324,2827.123402818456
805dcedf-0194-40b8-f6e4-ac053b5ef2f1,2838.915711104662
3bb42168-7643-a750-c4f4-d34a7afd93fe,2825.3376398585174
d55d818f-6ba6-768f-7318-c20911c3d075,2718.4311472282407
b9071583-43ed-db6f-0d81-59d2a9df9696,2821.7869572260333
cd60c83c-7f45-e413-dfa1-55b8c4f49edc,2776.852676789584
427dd08f-fd86-c300-014c-50bdfc02ab61,2883.433193665951
82eeae7c-04a5-e14f-57d3-13d617428737,2816.5430081565205
1f8200a9-0fba-f115-e42e-5fdfa44a4a22,2879.4413609447893
51ffecc7-6f55-1911-410f-4fd9cb032808,2763.905273153047
c2857534-1e01-8544-460e-ec4abcd00cd7,2841.3463775696696
0a217662-2054-3ff6-2512-9e9bae61dece,2805.037485636869
87d2564e-a19a-c3d5-ecf3-e58d6c01bcff,2799.199183730262
2e67504e-f147-9b7f-4994-e4b5276b0357,2725.2018939374843
3156bb3c-d9f6-d005-1ac9-bfc4c90982bf,2842.640245300998
